"","cities","lats","lons"
"1","DC","38.9","-77"
"2","New York","40.7","-74"
"3","San Fransisco","37.8","-122"
"4","Colorado","39","-105.5"
"5","Mountainview","37.4","-122"
"6","Tampa","28","-82.5"
"7","Austin","30","-98"
"8","Boston","42.4","-71"
"9","Seatle","48","-122"
"10","Vegas","36","-115"
"11","Montgomery","32.3","-86.3"
"12","Phoenix","33.5","-112"
"13","Little Rock","34.7","-92.3"
"14","Atlanta","33.8","-84.4"
"15","Springfield","37.2","-93.3"
"16","Cheyenne","41.2","-104.8"
"17","Bisruk","46.8","-100.8"
"18","Helena","46.6","-112"
"19","Springfield","37.2","-93.3"
"20","Madison","43","-89"
"21","Lansing","42.7","-84.5"
"22","Salt Lake City","40.8","-111.8"
"23","Nashville","36.2","-86.8"
"24","Jefferson City","38.6","-92.2"
"25","Raleigh","35.8","-78.6"
"26","Harrisburg","40.3","-76.8"
"27","Boise","43.6","-116.2"
"28","Lincoln","40.8","-98.7"
"29","Salem","44.9","-123"
"30","St. Paul","44.9","-93"
