"","address"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10","Unnamed Road, 981 91 Jukkasjärvi, Sweden"
"11","P10, Bot Makak, Cameroon"
"12","Svalbard, Svalbard and Jan Mayen"
"13",NA
"14",NA
"15","South Khorasan, Ghale Zaree Rd, Iran"
"16",NA
"17",NA
"18","P 8, Cameroon"
"19",NA
"20",NA
"21","Unnamed Road, 981 91 Jukkasjärvi, Sweden"
"22","Svalbard, Svalbard and Jan Mayen"
"23","Svalbard, Svalbard and Jan Mayen"
"24",NA
"25","Unnamed Road, 981 91 Jukkasjärvi, Sweden"
"26","Unnamed Road, 981 91 Jukkasjärvi, Sweden"
"27",NA
"28",NA
"29","Tjulträskvägen 178, 920 70 Sorsele, Sweden"
"30",NA
"31","Unnamed Road, 981 91 Jukkasjärvi, Sweden"
"32","Haut-Ntem, Gabon"
"33","Khanty-Mansi Autonomous Okrug, Russia, 628148"
"34","Balkan, Turkmenistan"
"35","Al Renk, South Sudan"
"36","5, Jordan"
"37","Unnamed Road, Belarus"
"38","Unnamed Road, 140000, Kazakhstan"
"39","Unnamed Road, Krasnodarskiy kray, Russia"
"40","Kotasaarentie 49, 71150 Kuopio, Finland"
"41","Unnamed Road, Uzbekistan"
"42","Quetta - Taftan Hwy, Pakistan"
"43","Unnamed Road, Romania"
"44",NA
"45","Unnamed Road, Somalia"
"46","Unnamed Road, Fatehpur Rural, Rajasthan 332301, India"
"47","Unnamed Road, Saratovskaya oblast', Russia"
"48","Unnamed Road, Turkmenistan"
"49","Unnamed Road, 110000, Kazakhstan"
"50","Hotan, Hotan, Xinjiang, China"
"51","Unnamed Road, Khanty-Mansiyskiy avtonomnyy okrug, Russia"
"52","Chintalapudi - Eluru Rd, Talarlapalle, Andhra Pradesh 534461, India"
"53","South Khorasan, Ghale Zaree Rd, Iran"
"54","Unnamed Road, Sudan"
"55","Unnamed Road, Uzbekistan"
"56","Tomsk Oblast, Russia, 636740"
"57","Khanty-Mansi Autonomous Okrug, Russia, 628642"
"58","Unnamed Road, South Sudan"
"59","Unnamed Road, Nikolo-Varvarinka, Voronezhskaya oblast', Russia, 397722"
"60","Unnamed Road, Agara, Gujarat 389170, India"
"61","Unnamed Road, Permskiy kray, Russia, 618154"
"62","Unnamed Road Saudi Arabia"
"63","R-97, Kazakhstan"
"64","Northern, Sudan"
"65","Unnamed Road, Turkmenistan"
"66","By Pass Rd, Nowshera, Pakistan"
"67","180 Saudi Arabia"
"68","8888 46913, Saudi Arabia"
"69","South Khorasan, Unnamed Road, Iran"
"70","Yamalo-Nenets Autonomous Okrug, Russia, 629860"
"71",NA
"72",NA
"73","Sarysu District, Kazakhstan"
"74",NA
"75","Hongikontie 1493, 97320 Rovaniemi, Finland"
"76","Unnamed Road, 91311 Lääne maakond, Estonia"
"77","Unnamed Road, Sudan"
"78","خليج مكادى، Qesm Hurghada, Red Sea Governorate, Egypt"
"79","Unnamed Road, South Sudan"
"80","Unnamed Road, Ulyanovskaya oblast', Russia, 433013"
"81","Unnamed Road, Sudan"
"82","Unnamed Road, Stavropolskiy kray, Russia, 357874"
"83","Unnamed Road, Chuvashia, Russia"
"84","A-26, Kazakhstan"
"85","Yalinga, Central African Republic"
"86","Unnamed Road, Iraq"
"87","Eritrea"
"88",NA
"89",NA
"90",NA
"91","Svalbard, Svalbard and Jan Mayen"
"92","Svalbard, Svalbard and Jan Mayen"
"93","N 15, Cameroon"
"94",NA
"95",NA
"96","Unnamed Road, Gabon"
"97","Unnamed Road, Gabon"
"98",NA
"99",NA
"100",NA
"101",NA
"102",NA
"103","Svalbard, Svalbard and Jan Mayen"
"104",NA
"105","Khanty-Mansi Autonomous Okrug, Russia, 628651"
"106",NA
"107","Fars, Unnamed Road, Iran"
"108","Unnamed Road, 981 91 Jukkasjärvi, Sweden"
"109",NA
"110","Karakiya District, Kazakhstan"
"111","Svalbard, Svalbard and Jan Mayen"
"112",NA
"113","Svalbard, Svalbard and Jan Mayen"
"114","P10, Bot Makak, Cameroon"
"115",NA
"116",NA
"117",NA
"118","P 8, Cameroon"
"119",NA
"120",NA
"121",NA
"122","Svalbard, Svalbard and Jan Mayen"
"123","Svalbard, Svalbard and Jan Mayen"
"124","GJ SH 52, Gujarat 370165, India"
